"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"02/26/2024","3","19.64 km","6.55 km","12.41 km","1:26:05 h:m:s","942","166 m","13.7 kph","4:23 /km","140 bpm","162 spm"
"02/19/2024","13","55.51 km","4.27 km","15.04 km","6:44:21 h:m:s","4,098","814 m","8.2 kph","7:17 /km","131 bpm","145 spm"
"02/12/2024","8","39.61 km","4.95 km","7.51 km","6:06:54 h:m:s","3,591","799 m","6.5 kph","9:16 /km","133 bpm","137 spm"
"02/05/2024","7","77.85 km","11.12 km","30.31 km","6:04:09 h:m:s","4,272","987 m","12.8 kph","4:41 /km","141 bpm","155 spm"
"01/29/2024","7","42.48 km","6.07 km","13.62 km","4:38:14 h:m:s","3,369","646 m","9.2 kph","6:33 /km","138 bpm","155 spm"
"01/22/2024","6","35.14 km","5.86 km","10.61 km","4:00:16 h:m:s","2,980","568 m","8.8 kph","6:50 /km","143 bpm","156 spm"
"01/15/2024","8","66.58 km","8.32 km","13.46 km","11:29:03 h:m:s","4,523","1,223 m","5.8 kph","10:21 /km","121 bpm","125 spm"
"01/08/2024","7","30.48 km","4.35 km","6.28 km","3:10:04 h:m:s","2,502","181 m","9.6 kph","6:14 /km","146 bpm","148 spm"
"01/01/2024","7","41.84 km","5.98 km","11.28 km","4:40:54 h:m:s","3,197","586 m","8.9 kph","6:43 /km","136 bpm","156 spm"
"12/25/2023","6","24.92 km","4.15 km","7.74 km","4:05:27 h:m:s","2,336","452 m","6.1 kph","9:51 /km","132 bpm","103 spm"
"12/18/2023","7","28.98 km","4.14 km","10.17 km","3:45:05 h:m:s","2,560","181 m","7.7 kph","7:46 /km","132 bpm","138 spm"
"12/11/2023","6","30.51 km","5.08 km","10.04 km","3:53:28 h:m:s","2,719","468 m","7.8 kph","7:39 /km","138 bpm","154 spm"
"12/04/2023","7","30.44 km","4.35 km","8.88 km","4:54:53 h:m:s","3,029","829 m","6.2 kph","9:41 /km","131 bpm","145 spm"
"11/27/2023","6","25.95 km","4.33 km","10.37 km","3:52:18 h:m:s","2,505","574 m","6.7 kph","8:57 /km","141 bpm","158 spm"
"11/20/2023","5","17.14 km","3.43 km","10.03 km","3:30:43 h:m:s","1,957","426 m","4.9 kph","12:18 /km","123 bpm","145 spm"
"11/13/2023","6","24.75 km","4.12 km","10.33 km","3:50:37 h:m:s","2,105","540 m","6.4 kph","9:19 /km","124 bpm","155 spm"
"11/06/2023","7","39.09 km","5.58 km","12.52 km","5:39:30 h:m:s","2,704","1,000 m","6.9 kph","8:41 /km","125 bpm","114 spm"
"10/30/2023","9","31.51 km","3.50 km","10.08 km","3:38:44 h:m:s","1,889","596 m","8.6 kph","6:56 /km","114 bpm","143 spm"
"10/23/2023","7","19.51 km","2.79 km","5.02 km","2:35:53 h:m:s","1,147","184 m","7.5 kph","7:59 /km","113 bpm","--"
"10/16/2023","2","--","--","--","54:33 h:m:s","433","--","--","--","118 bpm","--"
"10/09/2023","8","42.74 km","5.34 km","19.43 km","5:53:16 h:m:s","2,820","1,003 m","7.3 kph","8:16 /km","120 bpm","141 spm"
"10/02/2023","7","28.11 km","4.02 km","13.97 km","5:01:00 h:m:s","2,865","941 m","5.6 kph","10:43 /km","136 bpm","145 spm"
"09/25/2023","12","82.97 km","6.91 km","31.87 km","7:03:34 h:m:s","3,759","927 m","11.8 kph","5:06 /km","126 bpm","151 spm"
"09/18/2023","10","96.42 km","9.64 km","25.81 km","8:33:49 h:m:s","4,375","1,511 m","11.3 kph","5:20 /km","131 bpm","158 spm"
"09/11/2023","8","39.99 km","5.00 km","7.36 km","3:35:50 h:m:s","2,396","362 m","11.1 kph","5:24 /km","136 bpm","148 spm"
"09/04/2023","5","21.97 km","4.39 km","5.08 km","1:54:12 h:m:s","1,316","180 m","11.5 kph","5:12 /km","141 bpm","158 spm"
"08/28/2023","12","61.24 km","5.10 km","12.55 km","4:29:19 h:m:s","2,442","461 m","13.6 kph","4:24 /km","128 bpm","158 spm"
"08/21/2023","9","47.53 km","5.28 km","17.49 km","3:40:16 h:m:s","2,305","279 m","12.9 kph","4:38 /km","137 bpm","148 spm"
"08/14/2023","5","17.24 km","3.45 km","5.21 km","1:27:22 h:m:s","961","165 m","11.8 kph","5:04 /km","152 bpm","159 spm"
"08/07/2023","8","43.00 km","5.37 km","13.76 km","4:57:17 h:m:s","2,729","1,211 m","8.7 kph","6:55 /km","135 bpm","145 spm"
"07/31/2023","3","13.59 km","4.53 km","6.70 km","1:29:23 h:m:s","918","134 m","9.1 kph","6:35 /km","145 bpm","148 spm"
"07/24/2023","5","20.54 km","4.11 km","7.82 km","2:36:23 h:m:s","1,605","410 m","7.9 kph","7:37 /km","135 bpm","144 spm"
"07/17/2023","7","64.18 km","9.17 km","31.66 km","4:50:18 h:m:s","3,101","739 m","13.3 kph","4:31 /km","143 bpm","137 spm"
"07/10/2023","13","96.21 km","7.40 km","44.96 km","7:04:15 h:m:s","3,248","1,126 m","13.6 kph","4:25 /km","132 bpm","149 spm"
"07/03/2023","8","95.72 km","11.96 km","40.61 km","8:16:10 h:m:s","3,258","1,284 m","11.6 kph","5:11 /km","131 bpm","154 spm"
"06/26/2023","3","5.16 km","1.72 km","4.39 km","1:18:54 h:m:s","575","311 m","3.9 kph","15:18 /km","120 bpm","127 spm"
"06/19/2023","4","45.66 km","11.41 km","14.21 km","3:54:54 h:m:s","1,462","693 m","11.7 kph","5:09 /km","122 bpm","129 spm"
